Product,Return_Reason,Category,Cleaned_Reason
Bedsheet,Received Poor stitching after first use,Quality Issue,received poor stitching first use
Bedsheet,Cracked product,Damaged Product,cracked product
Smartwatch,Screen flickering,Quality Issue,screen flickering
Headphones,Zip not working,Quality Issue,zip working
Laptop,Neck too tight during use,Size Issue,neck tight use
Table,Received Leaking bottle,Damaged Product,received leaking bottle
Air Fryer,Received Charging very slow after first use,Battery Issue,received charging slow first use
T-Shirt,Dent on product during use,Damaged Product,dent product use
Water Bottle,Sound quality poor,Quality Issue,sound quality poor
Chair,Fit not as expected during use,Size Issue,fit expected use
Mixer,Handle broke,Quality Issue,handle broke
Jeans,Product has Broken on arrival,Damaged Product,product broken arrival
T-Shirt,Issue: Zip not working,Quality Issue,issue zip working
Phone,Received Package arrived after event,Delivery Delay,received package arrived event
Curtains,Display cracked,Damaged Product,display cracked
Bedsheet,Product has Power issue after first use,Battery Issue,product power issue first use
Bluetooth Speaker,Courier delay after first use,Delivery Delay,courier delay first use
Headphones,Color different from image,Color Mismatch,color different image
Shoes,Product has Manual missing,Missing Parts,product manual missing
Handbag,Issue: Expected black got blue during use,Color Mismatch,issue expected black got blue use
Bluetooth Speaker,Product has Needed earlier after first use,Delivery Delay,product needed earlier first use
Smartwatch,Different design received during use,Wrong Item,different design received use
Kurti,Expected black got blue during use,Color Mismatch,expected black got blue use
T-Shirt,Product has Poor stitching after first use,Quality Issue,product poor stitching first use
Shoes,Issue: Stand missing during use,Missing Parts,issue stand missing use
Bluetooth Speaker,Very slow delivery,Delivery Delay,slow delivery
Electric Kettle,Received Handle broke,Quality Issue,received handle broke
Smartwatch,Product has Left earbud not working during use,Quality Issue,product left earbud working use
Keyboard,Product has Waist too tight,Size Issue,product waist tight
Handbag,Left earbud not working,Quality Issue,left earbud working
Water Bottle,Product has Cracked product,Damaged Product,product cracked product
Air Fryer,Issue: Too loose,Size Issue,issue loose
Mixer,Product has Sound quality poor,Quality Issue,product sound quality poor
Shoes,Bent frame during use,Damaged Product,bent frame use
Electric Kettle,Product has Handle broke after first use,Quality Issue,product handle broke first use
Phone,Received Very slow delivery,Delivery Delay,received slow delivery
Chair,Product has Cable missing,Missing Parts,product cable missing
Power Bank,One part missing during use,Missing Parts,one part missing use
Headphones,Zip not working,Quality Issue,zip working
Chair,Product has Too loose,Size Issue,product loose
Shoes,Damaged during delivery after first use,Damaged Product,damaged delivery first use
Air Fryer,Poor stitching,Quality Issue,poor stitching
Sandals,Issue: Display cracked after first use,Damaged Product,issue display cracked first use
Table,Issue: Won't hold charge after first use,Battery Issue,issue wont hold charge first use
Laptop,Courier delay,Delivery Delay,courier delay
Smartwatch,Issue: One part missing during use,Missing Parts,issue one part missing use
Jeans,Issue: Size too large,Size Issue,issue size large
