Product,Return_Reason,Category
Bedsheet,Received Poor stitching after first use,Quality Issue
Bedsheet,Cracked product,Damaged Product
Smartwatch,Screen flickering,Quality Issue
Headphones,Zip not working,Quality Issue
Laptop,Neck too tight during use,Size Issue
Table,Received Leaking bottle,Damaged Product
Air Fryer,Received Charging very slow after first use,Battery Issue
T-Shirt,Dent on product during use,Damaged Product
Water Bottle,Sound quality poor,Quality Issue
Chair,Fit not as expected during use,Size Issue
Mixer,Handle broke,Quality Issue
Jeans,Product has Broken on arrival,Damaged Product
T-Shirt,Issue: Zip not working,Quality Issue
Phone,Received Package arrived after event,Delivery Delay
Curtains,Display cracked,Damaged Product
Bedsheet,Product has Power issue after first use,Battery Issue
Bluetooth Speaker,Courier delay after first use,Delivery Delay
Headphones,Color different from image,Color Mismatch
Shoes,Product has Manual missing,Missing Parts
Handbag,Issue: Expected black got blue during use,Color Mismatch
Bluetooth Speaker,Product has Needed earlier after first use,Delivery Delay
Smartwatch,Different design received during use,Wrong Item
Kurti,Expected black got blue during use,Color Mismatch
T-Shirt,Product has Poor stitching after first use,Quality Issue
Shoes,Issue: Stand missing during use,Missing Parts
Bluetooth Speaker,Very slow delivery,Delivery Delay
Electric Kettle,Received Handle broke,Quality Issue
Smartwatch,Product has Left earbud not working during use,Quality Issue
Keyboard,Product has Waist too tight,Size Issue
Handbag,Left earbud not working,Quality Issue
Water Bottle,Product has Cracked product,Damaged Product
Air Fryer,Issue: Too loose,Size Issue
Mixer,Product has Sound quality poor,Quality Issue
Shoes,Bent frame during use,Damaged Product
Electric Kettle,Product has Handle broke after first use,Quality Issue
Phone,Received Very slow delivery,Delivery Delay
Chair,Product has Cable missing,Missing Parts
Power Bank,One part missing during use,Missing Parts
Headphones,Zip not working,Quality Issue
Chair,Product has Too loose,Size Issue
Shoes,Damaged during delivery after first use,Damaged Product
Air Fryer,Poor stitching,Quality Issue
Sandals,Issue: Display cracked after first use,Damaged Product
Table,Issue: Won't hold charge after first use,Battery Issue
Laptop,Courier delay,Delivery Delay
Smartwatch,Issue: One part missing during use,Missing Parts
Jeans,Issue: Size too large,Size Issue
Laptop,Product has Zip not working,Quality Issue
Smartwatch,Product has Needed earlier,Delivery Delay
Shoes,Issue: Missed delivery date,Delivery Delay
Handbag,Poor stitching,Quality Issue
Phone,Issue: Zip not working during use,Quality Issue
Backpack,Missed delivery date after first use,Delivery Delay
Backpack,Received Missing screws during use,Missing Parts
Curtains,Wrong color and model during use,Wrong Item
Mixer,Product has Battery backup poor,Battery Issue
Jeans,Length too short,Size Issue
Keyboard,Product has Very slow delivery,Delivery Delay
Shoes,Button came off,Quality Issue
T-Shirt,Glass shattered after first use,Damaged Product
Shoes,Issue: Too loose,Size Issue
Laptop,Received Printed color faded after first use,Color Mismatch
Kurti,Received Wrong color and model during use,Wrong Item
Shirt,Issue: Wrong color received,Color Mismatch
Chair,Product has Fabric quality poor,Quality Issue
Water Bottle,Incorrect size sent after first use,Wrong Item
Phone,Issue: Printed color faded,Color Mismatch
Handbag,Different design received,Wrong Item
Kurti,Received Different model received,Wrong Item
Kurti,Received Handle broke,Quality Issue
Laptop,Received Dent on product,Damaged Product
Jeans,Late shipment during use,Delivery Delay
Shirt,Received Wrong item delivered after first use,Wrong Item
Bedsheet,Issue: Incorrect size sent,Wrong Item
Shirt,Attachment missing,Missing Parts
Jeans,Received Power issue,Battery Issue
Kurti,Charging very slow,Battery Issue
Water Bottle,Product has Color different from image after first use,Color Mismatch
Electric Kettle,Sound quality poor during use,Quality Issue
Phone,Product has Battery backup poor during use,Battery Issue
Bedsheet,Received Doesn't fit during use,Size Issue
Phone,Display cracked during use,Damaged Product
Headphones,Product has Fit not as expected during use,Size Issue
Headphones,Product has Printed color faded,Color Mismatch
Air Fryer,Received Glass shattered,Damaged Product
Handbag,Wrong brand received during use,Wrong Item
T-Shirt,Received Color different from image after first use,Color Mismatch
T-Shirt,Wrong item delivered during use,Wrong Item
Smartwatch,Color looks different,Color Mismatch
Table,Product has Material feels cheap,Quality Issue
Shirt,Ordered medium received small,Size Issue
Smartwatch,Dent on product,Damaged Product
Bedsheet,Received Wrong color received,Color Mismatch
Air Fryer,Issue: Wrong color and model,Wrong Item
Smartwatch,Issue: Battery backup poor after first use,Battery Issue
Chair,Wrong color and model,Wrong Item
Smartwatch,Received another product,Wrong Item
Power Bank,Issue: Design color mismatch after first use,Color Mismatch
Sandals,Needed earlier,Delivery Delay
Electric Kettle,Product has Wrong color received,Color Mismatch
Kurti,Package torn,Damaged Product
Helmet,Leaking bottle during use,Damaged Product
Laptop,Issue: Stand missing during use,Missing Parts
Kurti,Cable missing,Missing Parts
Phone,Cable missing during use,Missing Parts
Headphones,Neck too tight during use,Size Issue
Sandals,Battery swollen,Battery Issue
Helmet,Design color mismatch during use,Color Mismatch
Bedsheet,Issue: Needed earlier during use,Delivery Delay
Handbag,Received Received another product,Wrong Item
Bluetooth Speaker,Issue: Missed delivery date,Delivery Delay
Bluetooth Speaker,Received Received another product,Wrong Item
Kurti,Product has Button came off during use,Quality Issue
Shoes,Issue: Battery backup poor during use,Battery Issue
Power Bank,Issue: Pattern different,Color Mismatch
Backpack,Glass shattered,Damaged Product
Shirt,Received Lid missing,Missing Parts
Chair,Charger missing,Missing Parts
Headphones,Received Leaking bottle during use,Damaged Product
Backpack,Received Delivered too late during use,Delivery Delay
Kurti,Battery swollen,Battery Issue
Table,Ordered medium received small,Size Issue
Kurti,Issue: Material feels cheap after first use,Quality Issue
Backpack,Received Waist too tight after first use,Size Issue
Air Fryer,Issue: Package arrived after event,Delivery Delay
Shoes,Issue: Manual missing,Missing Parts
Headphones,Length too short,Size Issue
Laptop,Sleeves too short,Size Issue
Kurti,Issue: Battery backup poor,Battery Issue
Curtains,Received Leaking bottle,Damaged Product
Helmet,Won't hold charge after first use,Battery Issue
Table,Different model received,Wrong Item
Curtains,Product has Charger missing,Missing Parts
Curtains,Received Broken on arrival,Damaged Product
Jeans,Received Screen flickering,Quality Issue
Shoes,One part missing,Missing Parts
Mouse,Ordered medium received small during use,Size Issue
Curtains,Product has Design color mismatch during use,Color Mismatch
Handbag,Received Power issue,Battery Issue
Smartwatch,Delivery rescheduled,Delivery Delay
Shoes,Received Expected black got blue during use,Color Mismatch
Table,Leaking bottle during use,Damaged Product
Mouse,Received Color different from image after first use,Color Mismatch
Water Bottle,Received Missed delivery date,Delivery Delay
Curtains,Received Different design received,Wrong Item
Laptop,Neck too tight after first use,Size Issue
Chair,Product has Lid missing during use,Missing Parts
Shirt,Delivery rescheduled,Delivery Delay
Curtains,Product has Glass shattered,Damaged Product
Chair,Design color mismatch,Color Mismatch
Air Fryer,Received Attachment missing during use,Missing Parts
Bluetooth Speaker,Product has Wrong variant delivered,Wrong Item
T-Shirt,Dent on product after first use,Damaged Product
Bedsheet,Issue: Package torn,Damaged Product
Laptop,Received Different model received after first use,Wrong Item
Mixer,Shade not matching,Color Mismatch
Jeans,Shuts down suddenly,Battery Issue
Handbag,Issue: Incorrect size sent,Wrong Item
Mixer,Issue: Too loose during use,Size Issue
Phone,Package arrived after event,Delivery Delay
Shoes,Issue: Delivery delayed during use,Delivery Delay
Handbag,Screen flickering after first use,Quality Issue
Mixer,Won't hold charge after first use,Battery Issue
Electric Kettle,Issue: Handle broke,Quality Issue
Backpack,Issue: Scratched item during use,Damaged Product
Smartwatch,Received Different design received,Wrong Item
Bedsheet,Too loose after first use,Size Issue
Sandals,Display cracked after first use,Damaged Product
Chair,Cracked product after first use,Damaged Product
Power Bank,Ordered medium received small during use,Size Issue
Headphones,Received Wrong item delivered,Wrong Item
Sandals,Product has Delivery delayed,Delivery Delay
T-Shirt,Glass shattered after first use,Damaged Product
Kurti,Shuts down suddenly,Battery Issue
Helmet,Shuts down suddenly,Battery Issue
Power Bank,Received Delivery delayed during use,Delivery Delay
Chair,Issue: Incorrect product during use,Wrong Item
Jeans,Issue: Screen flickering,Quality Issue
Shoes,Product has Wrong item delivered,Wrong Item
Table,Waist too tight after first use,Size Issue
Handbag,Issue: Very slow delivery,Delivery Delay
Smartwatch,Issue: Won't hold charge,Battery Issue
Smartwatch,Received Package arrived after event,Delivery Delay
Air Fryer,Issue: Button came off during use,Quality Issue
Electric Kettle,Wrong color and model,Wrong Item
Air Fryer,Received Delivery delayed,Delivery Delay
Keyboard,Material feels cheap,Quality Issue
Jeans,Product has Courier delay,Delivery Delay
